"year","month","tis99","tia30","tia10","til30","til10","ts","time"
1516,10,1,1,1,1,1,1516.79,"1516-10-15 00:00:00"
1516,11,-2,-2,-2,-2,-2,1516.88,"1516-11-15 00:00:00"
1516,12,-1,-1,-1,-1,-1,1516.96,"1516-12-15 00:00:00"
1517,1,-2,-2,-2,-2,-2,1517.04,"1517-1-15 00:00:00"
1517,2,-2,-2,-2,-2,-2,1517.12,"1517-2-15 00:00:00"
1517,3,-1,-1,-1,-1,-1,1517.21,"1517-3-15 00:00:00"
1517,4,1,1,1,1,1,1517.29,"1517-4-15 00:00:00"
1517,5,1,1,1,1,1,1517.38,"1517-5-15 00:00:00"
1517,6,1,1,1,1,1,1517.46,"1517-6-15 00:00:00"
1517,7,0,0,0,0,0,1517.54,"1517-7-15 00:00:00"
1517,8,0,0,0,0,0,1517.62,"1517-8-15 00:00:00"
1517,9,-1,-1,-1,-1,-1,1517.71,"1517-9-15 00:00:00"
1517,10,1,1,1,1,1,1517.79,"1517-10-15 00:00:00"
1517,11,-1,-1,-1,-1,-1,1517.88,"1517-11-15 00:00:00"
1517,12,0,0,0,0,0,1517.96,"1517-12-15 00:00:00"
1518,1,-1,-1,-1,-1,-1,1518.04,"1518-1-15 00:00:00"
1518,2,0,0,0,0,0,1518.12,"1518-2-15 00:00:00"
1518,3,0,0,0,0,0,1518.21,"1518-3-15 00:00:00"
1518,4,1,1,1,1,1,1518.29,"1518-4-15 00:00:00"
1518,5,0,0,0,0,0,1518.38,"1518-5-15 00:00:00"
1518,6,-2,-2,-2,-2,-2,1518.46,"1518-6-15 00:00:00"
1518,7,1,1,1,1,1,1518.54,"1518-7-15 00:00:00"
1518,8,-1,-1,-1,-1,-1,1518.62,"1518-8-15 00:00:00"
1518,9,0,0,0,0,0,1518.71,"1518-9-15 00:00:00"
1518,10,-1,-1,-1,-1,-1,1518.79,"1518-10-15 00:00:00"
1518,11,-1,-1,-1,-1,-1,1518.88,"1518-11-15 00:00:00"
1518,12,0,0,0,0,0,1518.96,"1518-12-15 00:00:00"
1519,1,-1,-1,-1,-1,-1,1519.04,"1519-1-15 00:00:00"
1519,2,1,1,1,1,1,1519.12,"1519-2-15 00:00:00"
1519,3,1,1,1,1,1,1519.21,"1519-3-15 00:00:00"
1519,4,0,0,0,0,0,1519.29,"1519-4-15 00:00:00"
1519,5,-1,-1,-1,-1,-1,1519.38,"1519-5-15 00:00:00"
1519,6,2,2,2,2,2,1519.46,"1519-6-15 00:00:00"
1519,7,0,0,0,0,0,1519.54,"1519-7-15 00:00:00"
1519,8,-1,-1,-1,-1,-1,1519.62,"1519-8-15 00:00:00"
1519,9,0,0,0,0,0,1519.71,"1519-9-15 00:00:00"
1519,10,-1,-1,-1,-1,-1,1519.79,"1519-10-15 00:00:00"
1519,11,0,0,0,0,0,1519.88,"1519-11-15 00:00:00"
1519,12,0,0,0,0,0,1519.96,"1519-12-15 00:00:00"
1520,1,1,1,1,1,1,1520.04,"1520-1-15 00:00:00"
1520,2,0,0,0,0,0,1520.12,"1520-2-15 00:00:00"
1520,3,-1,-1,-1,-1,-1,1520.21,"1520-3-15 00:00:00"
